load_ratio,traffic_chi2,traffic_uniform,traffic_exponential
1.0,2.0286288302014905,1.943189320925358,2.969479451147631
0.5,1.0164347879909454,1.0483627307140355,1.4678891176515096
0.3333333333333333,0.6876895174995477,0.7376188548830611,0.9875046960170768
0.25,0.5238507183826777,0.5765049022075796,0.7492994676452563
0.2,0.4251962593057359,0.4766967748234885,0.6061469568431603
0.16666666666666666,0.35902266890324436,0.4082482903607009,0.5102038912631192
0.14285714285714285,0.31141896382225104,0.3581068755442462,0.4412114831371915
0.1111111111111111,0.24726868905720212,0.2890984753097922,0.3480224617709407
0.09090909090909091,0.20584954449952952,0.24348940537627964,0.2883102288817605
1.5,3.083638902222006,2.818005632981795,4.565255017129012
2.0,4.176359067734743,3.6855212294707616,6.242905109333289
3.0,6.454130631538849,5.412961075590001,9.79823672913312
4.0,8.830324336111085,7.132260575043627,13.566993794238801
5.0,11.28493474797809,8.850644883530208,17.506158050980712
6.0,13.804524820446918,10.567764361975696,21.58683640802555
0.875,1.7714609712749116,1.7229112156590818,2.5849109428715833
